zip,city,air,haz_cleanups,lead_paint,water
92663,Newport Beach,11,17,39%,24.1%
92307,Apple Valley,7,2,40%,24.2%
94002,Belmont,8,9,47%,24.3%
95425,Unincorporated Sonoma County area,6,25,53%,24.3%
93109,Santa Barbaraarea,8,7,44%,24.4%
95453,Lakeport,5,13,50%,24.5%
92585,Menifee,10,0,28%,24.5%
91932,Imperial Beach,12,7,59%,24.7%
92637,Laguna Woods,10,2,21%,24.8%
96003,Redding,8,5,27%,24.8%
95128,San Jose,9,3,61%,24.9%
95446,Unincorporated Sonoma County area,6,0,59%,24.9%
94403,San Mateo,8,4,56%,24.9%
94565,Pittsburg,9,17,53%,25.1%
92069,San Marcos,8,4,29%,25.1%
95628,Fair Oaks,8,6,36%,25.3%
95065,Live Oak and Santa Cruz,6,6,35%,25.3%
95122,San Jose,9,2,58%,25.5%
92584,Menifee,10,0,20%,25.5%
95836,Unincorporated Sacramento County area,9,0,,25.5%
95032,Los Gatos,8,2,38%,25.6%
95695,Woodland,9,4,49%,25.6%
95540,Fortuna,6,0,46%,25.7%
95470,Unincorporated Mendocino County area,7,3,42%,25.7%
90755,Signal Hill,12,14,51%,25.7%
95551,Loleta,6,0,64%,25.9%
94066,San Bruno,9,5,58%,25.9%
95132,San Jose,8,7,35%,25.9%
95834,Sacramento,9,2,27%,26.0%
92154,San Diego,13,2,43%,26.1%
92064,Poway,9,1,29%,26.3%
96088,Unincorporated Shasta County area,6,0,17%,26.4%
94534,Fairfield,9,1,21%,26.5%
96161,Truckee,8,2,15%,26.6%
95928,Chico,9,28,43%,26.6%
94401,San Mateo,9,2,75%,26.7%
95135,San Jose,8,2,13%,26.7%
95404,Santa Rosa,7,1,43%,26.7%
95127,San Jose,8,0,67%,26.7%
90623,La Palma,12,4,37%,26.9%
92688,Rancho Santa Margarita,10,5,19%,26.9%
94591,Vallejo,9,3,42%,27.0%
96020,Unincorporated Plumas County area,8,9,37%,27.1%
90723,Paramount,12,11,69%,27.2%
92131,San Diego,9,3,9%,27.2%
94582,San Ramon,8,0,6%,27.2%
95120,San Jose,8,1,21%,27.3%
94024,Los Altos,8,5,44%,27.4%
95546,Unincorporated Humboldt County area,5,15,54%,27.4%
92128,San Diego,9,2,16%,27.4%
92119,San Diego,10,2,34%,28.0%
95965,Oroville,8,19,55%,28.0%
96130,Unincorporated Lassen County area,5,7,53%,28.2%
92078,San Marcos,8,9,26%,28.3%
95407,Santa Rosa,7,7,56%,28.4%
93436,Lompoc,7,3,51%,28.8%
95136,San Jose,8,5,32%,28.8%
95820,Sacramento,9,7,80%,28.9%
95688,Vacaville,8,6,35%,28.9%
92107,San Diego,10,4,41%,29.0%
92108,San Diego,10,10,21%,29.0%
92110,San Diego,10,17,43%,29.0%
92121,San Diego,9,13,12%,29.0%
92124,San Diego,9,10,37%,29.0%
92134,San Diego,10,7,,29.0%
92136,San Diego,10,35,,29.0%
92140,San Diego,10,19,,29.0%
92145,San Diego,9,11,46%,29.0%
92173,San Diego,14,0,46%,29.0%
92101,San Diego,10,23,15%,29.0%
92103,San Diego,10,10,37%,29.0%
92104,San Diego,10,2,51%,29.0%
92106,San Diego,10,18,48%,29.0%
92111,San Diego,10,2,44%,29.0%
92116,San Diego,10,0,52%,29.0%
92117,San Diego,9,7,54%,29.0%
92122,San Diego,9,0,21%,29.0%
92123,San Diego,9,12,40%,29.0%
92037,San Diego,10,6,27%,29.0%
92102,San Diego,10,5,63%,29.0%
92109,San Diego,10,2,36%,29.0%
92126,San Diego,9,4,27%,29.0%
92129,San Diego,9,0,16%,29.0%
92395,Victorville,8,0,44%,29.0%
95060,Santa Cruz,6,15,45%,29.2%
92113,San Diego,10,7,70%,29.2%
90745,Carson,12,35,62%,29.4%
91910,Chula Vista,10,3,51%,29.5%
95959,Unincorporated Nevada County area,6,55,24%,29.5%
90742,Huntington Beach,11,4,41%,29.5%
95648,Lincoln,8,1,16%,29.6%
96021,Unincorporated Tehama County area,7,7,53%,29.8%
94589,Vallejo,9,1,55%,29.8%
92083,Vista,9,2,49%,29.9%
92130,San Diego,9,0,9%,29.9%
96002,Redding,9,4,35%,30.0%
92392,Mountain View Acres and Victorville,8,4,29%,30.2%
95973,Chico,9,5,28%,30.2%
92394,Victorville,7,10,41%,30.3%
90503,Torrance,12,6,49%,30.3%
92240,Desert Hot Springs,6,0,41%,30.3%
92223,Beaumont,9,2,31%,30.5%
92139,San Diego,10,1,51%,30.5%
92105,San Diego,10,3,70%,30.5%
95602,North Auburn,7,4,26%,30.6%
91911,Chula Vista,11,2,54%,30.6%
94585,Suisun City,8,6,29%,30.7%
92009,Carlsbad,9,0,11%,30.7%
94035,Unincorporated Santa Clara County area,8,52,,30.8%
93552,Palmdale,8,1,47%,30.8%
94030,Millbrae,8,5,50%,30.8%
93111,Goleta and Eastern Goleta Valley,8,6,37%,31.0%
94404,Foster City,9,4,23%,31.0%
95073,Unincorporated Santa Cruz County area,6,0,27%,31.3%
95014,Cupertino,8,13,34%,31.5%
92081,Vista,9,4,32%,31.5%
96001,Redding,8,11,40%,31.6%
92019,Rancho San Diego,10,0,33%,31.7%
94402,San Mateo,8,2,57%,31.8%
92264,Palm Springs,7,0,35%,31.9%
96073,Bella Vista,9,0,25%,32.0%
92372,Piñon Hills,10,0,29%,32.0%
96022,Unincorporated Tehama County area,9,0,38%,32.1%
95526,Unincorporated Humboldt County area,5,0,41%,32.1%
92241,Desert Edge and Indio Hills,7,0,27%,32.2%
92625,Newport Beach,11,9,29%,32.3%
92657,Newport Beach,10,0,9%,32.3%
92661,Newport Beach,11,4,41%,32.3%
92662,Newport Beach,11,2,55%,32.3%
92084,Vista,9,2,49%,32.3%
92115,San Diego,10,2,57%,32.3%
92120,San Diego,10,5,44%,32.3%
96031,Unincorporated Siskiyou County area,2,4,47%,32.4%
95223,Unincorporated Calaveras County area,7,0,21%,32.4%
92314,Big Bear City,6,1,34%,32.5%
91978,Spring Valley,10,0,33%,32.7%
95683,Unincorporated Sacramento County area,8,17,12%,32.7%
94592,Unincorporated Solano County area,9,37,33%,32.8%
95682,Cameron Park,8,4,18%,32.8%
95632,Galt,9,1,35%,32.9%
95966,Oroville,8,12,45%,32.9%
95111,San Jose,8,6,57%,33.0%
96016,Unincorporated Shasta County area,5,0,47%,33.0%
92014,San Diego,9,3,15%,33.2%
92010,Carlsbad,9,3,19%,33.2%
91950,National City,10,7,68%,33.3%
90502,West Carson,12,47,58%,33.5%
91010,Duarte,12,8,61%,33.5%
94015,Daly City,8,2,56%,33.8%
92545,Hemet,9,2,27%,33.9%
90505,Torrance,12,11,43%,34.1%
90810,Long Beach,12,3,74%,34.1%
95252,"Unincorporated Calaveras County area,Unincorporated Calaveras County area",9,0,34%,34.1%
92233,Unincorporated Imperial County area,8,18,49%,34.1%
92114,San Diego,10,2,57%,34.2%
94087,Sunnyvale,8,4,40%,34.2%
90815,Long Beach,12,9,56%,34.3%
90803,Long Beach,12,7,44%,34.4%
90250,Hawthorne,12,9,66%,34.5%
90804,Long Beach,12,6,67%,34.5%
95121,San Jose,9,5,38%,34.5%
92861,Villa Park,12,0,27%,34.6%
90814,Long Beach,12,4,57%,34.7%
90840,Long Beach,12,1,,34.7%
90802,Long Beach,12,8,58%,34.7%
